class,n,mp_coverage_pct,detected_n,missed_n,rgb_acc_all_pct,rgb_acc_detected_pct,rgb_acc_missed_pct,mean_conf_detected,mean_conf_missed,correct_rgb_discarded_by_mp
A,100,75.0,75,25,99.0,100.0,96.0,0.8819384074211121,0.8394456076622009,24
B,100,71.0,71,29,100.0,100.0,100.0,0.8876772262680699,0.8723493321188565,29
C,100,67.0,67,33,100.0,100.0,100.0,0.8991664808187911,0.8936503999160997,33
D,100,80.0,80,20,100.0,100.0,100.0,0.9018757186830044,0.8883621990680695,20
E,100,84.0,84,16,100.0,100.0,100.0,0.9007518922998792,0.8810483142733574,16
F,100,96.0,96,4,100.0,100.0,100.0,0.8907738806058964,0.9010540097951889,4
G,100,81.0,81,19,100.0,100.0,100.0,0.9089456252109858,0.9077898201189543,19
H,100,83.0,83,17,100.0,100.0,100.0,0.8982141362615379,0.9068521997507881,17
I,100,79.0,79,21,100.0,100.0,100.0,0.9029312307321573,0.8816020488739014,21
J,100,91.0,91,9,100.0,100.0,100.0,0.9090735611024794,0.857241153717041,9
K,100,91.0,91,9,97.0,96.7032967032967,100.0,0.896108648279211,0.8793961538208855,9
L,100,82.0,82,18,100.0,100.0,100.0,0.9132149314008108,0.899443119764328,18
M,100,46.0,46,54,97.0,100.0,94.44444444444444,0.8894625759643057,0.871739927817274,51
N,100,48.0,48,52,100.0,100.0,100.0,0.8820793082316717,0.8809663836772625,52
O,100,80.0,80,20,100.0,100.0,100.0,0.8878051459789276,0.8770045697689056,20
P,100,63.0,63,37,100.0,100.0,100.0,0.9035512937439812,0.8960352362813176,37
Q,100,73.0,73,27,100.0,100.0,100.0,0.9139767836218011,0.8960501065960637,27
R,100,86.0,86,14,99.0,98.83720930232558,100.0,0.8779102498015692,0.8949405125209263,14
S,100,78.0,78,22,91.0,96.15384615384616,72.72727272727273,0.8891850503591391,0.727022410793738,16
T,100,75.0,75,25,98.0,100.0,92.0,0.876337262392044,0.685787593126297,23
U,100,83.0,83,17,100.0,100.0,100.0,0.905322104333395,0.8750480869237114,17
V,100,91.0,91,9,100.0,100.0,100.0,0.9077426555392506,0.8246664537323846,9
W,100,85.0,85,15,100.0,100.0,100.0,0.8936767585137311,0.8263815720876058,15
X,100,71.0,71,29,100.0,100.0,100.0,0.9281034318494125,0.768925421710672,29
Y,100,88.0,88,12,100.0,100.0,100.0,0.9079632427204739,0.8040099938710531,12
Z,100,76.0,76,24,100.0,100.0,100.0,0.8953218216958799,0.8789911145965258,24
del,100,61.0,61,39,0.0,0.0,0.0,0.8931172441263668,0.9001297568663572,0
nothing,100,0.0,0,100,0.0,,0.0,,0.8915808570384979,0
space,100,46.0,46,54,0.0,0.0,0.0,0.9036679565906525,0.89925209791572,0
